epoch,test_acc,train_time
0.0,54.166666666666664,126.4557409286499
1.0,62.5,122.54342293739319
2.0,76.38888888888889,120.57372879981995
3.0,79.51388888888889,124.07388544082642
4.0,81.59722222222223,124.5206527709961
5.0,82.98611111111111,129.1920952796936
6.0,84.72222222222223,121.7859308719635
7.0,84.02777777777777,123.5311644077301
8.0,86.11111111111111,124.74333310127258
9.0,84.02777777777777,120.60912871360779
10.0,84.02777777777777,123.56457304954529
11.0,84.02777777777777,144.36554312705994
12.0,82.29166666666667,127.22146415710449
13.0,83.68055555555556,121.33864068984985
14.0,80.90277777777777,125.58489489555359
15.0,84.375,123.56506323814392
16.0,82.63888888888889,120.97372627258301
17.0,81.59722222222223,117.85183358192444
18.0,77.08333333333333,132.1793510913849
19.0,85.76388888888889,125.75468707084656
