epoch,test_acc,train_time
0.0,52.43055555555556,125.37801909446716
1.0,60.06944444444444,132.7895805835724
2.0,66.31944444444444,125.02081346511841
3.0,72.22222222222223,129.50765943527222
4.0,77.43055555555556,130.3507947921753
5.0,79.86111111111111,129.35409688949585
6.0,80.55555555555556,129.9792549610138
7.0,82.29166666666667,126.2704029083252
8.0,82.29166666666667,127.5215003490448
9.0,81.25,123.88564968109131
10.0,81.94444444444444,131.94780683517456
11.0,81.59722222222223,125.63255500793457
12.0,83.68055555555556,123.72629165649414
13.0,82.29166666666667,137.85737419128418
14.0,75.34722222222223,131.45062351226807
15.0,81.25,123.13296675682068
16.0,80.20833333333333,127.1870710849762
17.0,79.51388888888889,123.31483578681946
18.0,79.16666666666667,120.41489553451538
19.0,80.20833333333333,124.87520456314087
