epoch,test_acc,train_time
0.0,50.69444444444444,85.57848191261292
1.0,59.72222222222222,85.11411046981812
2.0,75.34722222222223,85.79016757011414
3.0,75.34722222222223,97.36521697044373
4.0,80.20833333333333,86.89771223068237
5.0,82.98611111111111,85.9543833732605
6.0,83.33333333333333,85.65269541740417
7.0,80.20833333333333,92.70003199577332
8.0,81.59722222222223,85.05809545516968
9.0,83.68055555555556,85.15378713607788
10.0,82.98611111111111,86.04527068138123
11.0,83.33333333333333,88.76577687263489
12.0,85.76388888888889,86.63066959381104
13.0,86.80555555555556,86.70203280448914
14.0,79.86111111111111,84.44981074333191
15.0,85.06944444444444,88.84298992156982
16.0,85.41666666666667,89.87133526802063
17.0,86.45833333333333,84.60040760040283
18.0,85.76388888888889,84.40873694419861
19.0,82.98611111111111,85.81950044631958
