epoch,test_acc,train_time
0.0,52.77777777777778,88.32634615898132
1.0,69.44444444444444,85.93106889724731
2.0,74.65277777777777,86.69979667663574
3.0,79.51388888888889,84.92559838294983
4.0,82.29166666666667,86.5117461681366
5.0,81.59722222222223,85.79693675041199
6.0,84.375,85.81927728652954
7.0,84.375,84.38905835151672
8.0,84.72222222222223,83.53862619400024
9.0,85.41666666666667,85.23307704925537
10.0,85.76388888888889,91.36753487586975
11.0,85.76388888888889,83.45109272003174
12.0,82.63888888888889,84.62747645378113
13.0,83.68055555555556,83.81109690666199
14.0,84.375,87.73177599906921
15.0,79.51388888888889,85.6169946193695
16.0,85.76388888888889,86.54648542404175
17.0,84.02777777777777,84.22052359580994
18.0,84.72222222222223,92.27070569992065
19.0,82.63888888888889,86.12746930122375
