epoch,test_acc,train_time
0.0,51.041666666666664,84.52057981491089
1.0,75.0,82.6847984790802
2.0,82.63888888888889,83.14060664176941
3.0,81.94444444444444,83.27693009376526
4.0,86.80555555555556,85.04176640510559
5.0,86.45833333333333,83.98120665550232
6.0,85.76388888888889,84.36009860038757
7.0,85.41666666666667,83.51850008964539
8.0,85.41666666666667,90.5277156829834
9.0,86.11111111111111,84.49748730659485
10.0,86.11111111111111,83.03603720664978
11.0,85.76388888888889,82.43650412559509
12.0,84.02777777777777,82.79108786582947
13.0,84.02777777777777,85.82525253295898
14.0,86.11111111111111,82.73849844932556
15.0,86.11111111111111,82.52426528930664
16.0,84.72222222222223,82.1808910369873
17.0,85.76388888888889,88.35770797729492
18.0,87.84722222222223,83.8221595287323
19.0,84.375,82.27300786972046
