epoch,test_acc,train_time
0.0,51.388888888888886,92.90127849578857
1.0,68.05555555555556,85.53220129013062
2.0,77.43055555555556,83.45937848091125
3.0,85.76388888888889,84.29655718803406
4.0,85.76388888888889,84.1603136062622
5.0,86.80555555555556,84.51832938194275
6.0,84.02777777777777,84.052907705307
7.0,86.45833333333333,86.46587800979614
8.0,86.45833333333333,84.86056089401245
9.0,86.11111111111111,83.67893290519714
10.0,85.76388888888889,84.14654326438904
11.0,84.375,83.69477415084839
12.0,84.72222222222223,86.15095472335815
13.0,83.68055555555556,82.56401062011719
14.0,85.76388888888889,82.30213451385498
15.0,83.33333333333333,82.55261445045471
16.0,84.02777777777777,83.33916592597961
17.0,84.375,86.82381772994995
18.0,77.43055555555556,82.98144507408142
19.0,83.33333333333333,82.49854612350464
