epoch,test_acc,train_time
0.0,51.041666666666664,82.63063454627991
1.0,72.56944444444444,89.5174663066864
2.0,78.125,84.58797454833984
3.0,79.51388888888889,84.93191885948181
4.0,84.72222222222223,83.41627144813538
5.0,87.5,82.77520394325256
6.0,85.76388888888889,86.38834953308105
7.0,87.84722222222223,83.8129289150238
8.0,87.5,83.75934338569641
9.0,87.84722222222223,83.03274822235107
10.0,86.45833333333333,87.92439460754395
11.0,86.45833333333333,83.57322406768799
12.0,87.5,82.98774147033691
13.0,87.5,82.27845597267151
14.0,86.11111111111111,83.26859259605408
15.0,86.80555555555556,86.79393029212952
16.0,87.15277777777777,82.78694105148315
17.0,86.11111111111111,84.3321373462677
18.0,86.80555555555556,84.01158833503723
19.0,87.15277777777777,89.05436682701111
